RE_Identity	Normalized	FOLD	condensed
hBph	0.718875502008032	-1.16495785704374	hph
B7BB	0.525619834710744	-1.61668007911751	7
7pcx4	0.207086976530143	-2.96046297020416	7pcx4
pBSh	0.584905660377358	-1.46249584641623	pSh
77hh	0.567099567099567	-1.50709774211852	77hh
Sh77	0.430408472012103	-1.90499332144102	Sh77
ppph	0.333706606942889	-2.27211954689897	ppph
7S7h	0.366767512217826	-2.13583394455747	7S7h
BBpp	0.373913043478261	-2.10799699848219	pp
7pcx4	0.198979591836735	-3.01807932749287	7pcx4
p7hh	0.275985663082437	-2.5461064733742	p7hh
7hh7	1.08910891089109	-0.565623471467046	7hh7
SMARCAD1	0.525745257452574	-1.61633586611318	SMARCAD1
7h7B	0.460732984293194	-1.80676891163836	7h7
BpBS	1.99765990639626	0.309539288738816	pS
B77B	0.566948130277443	-1.50748304717066	77
7ShS	0.939051918735892	-0.779494872653837	7ShS
7h7h	0.216370106761566	-2.89719860390461	7h7h
SSp7	0.770755039289375	-1.06442738024987	SSp7
p7p7	0.445199660152931	-1.85624730574091	p7p7
hSSh	0.388612099644128	-2.05236897642835	hSSh
BhpB	0.539141414141414	-1.58003606269903	hp
SB7B	0.84080370942813	-0.938930762982079	S7
hpp7	0.545649838882922	-1.56272437302654	hpp7
77hS	0.153653966271081	-3.39101478941693	77hS
SShB	1.0176437108708	-0.663539157064969	SSh
hBSS	0.864657534246575	-0.898570960881194	hSS
7Spp	0.694835680751174	-1.2140279568368	7Spp
77S7	0.391590013140604	-2.04135582528129	77S7
7BSh	0.424688199552287	-1.92429577481803	7Sh
7B7h	0.479978281525723	-1.74773067013519	77h
hhh7	3.552384041518	1.14001585491081	hhh7
h7pS	0.399664147774979	-2.01191163679608	h7pS
S7pB	0.312213740458015	-2.36816576572298	S7p
hS7S	0.485228290062668	-1.73203613136935	hS7S
77Sp	0.496998799519808	-1.69745743010613	77Sp
B7S7	0.421627525942108	-1.93473074076917	7S7
7BhB	0.589686098654709	-1.45075261286791	7h
7SBB	0.792724196277496	-1.02388078475826	7S
BhBS	2.53209211170995	0.651558185421295	hS
BSBp	0.820113314447592	-0.974876537521855	Sp
pShp	1.2471304755212	-0.370159293575658	pShp
pBhB	2.13969571230982	0.408633942258007	ph
Control	1.95688622754491	0.279788178544358	Control
7S7h	0.499364675984752	-1.69060602548879	7S7h
BBB7	0.417704011065007	-1.94821879986595	7
pSp7	0.298898793917147	-2.43104272150056	pSp7
7hB7	1.07712418300654	-0.581587112636707	7h7
7p7S	0.202080237741456	-2.99577155559989	7p7S
p77S	0.237017310252996	-2.76570736878779	p77S
hBh7	5.24886877828054	1.70323482838359	hh7
SSB7	0.521142857142857	-1.62902089479486	SS7
pS7B	0.350856467808624	-2.19981883933479	pS7
Control	2.29268292682927	0.508265144819642	Control
h77S	0.708133971291866	-1.18667746869184	h77S
77Bh	0.492979719188768	-1.70917150068155	77h
7Bhp	0.618885096700796	-1.38102821613298	7hp
BhhB	13.4985250737463	3.06595817140213	hh
BhSS	0.749003984063745	-1.10572640451305	hSS
BppB	0.888059701492537	-0.86004312938974	pp
h77B	0.323076923076923	-2.31882209248961	h77
7Bph	0.547638547638548	-1.55747579733629	7ph
Sph7	0.507142857142857	-1.6683075996802	Sph7
pBpS	1.07706255666364	-0.581669657030528	ppS
S7pS	1.64593301435407	0.030133920381304	S7pS
BhBS	0.801452784503632	-1.00808226685214	hS
BB7p	0.378223495702006	-2.09146080909111	7p
7hS7	0.889123548046463	-0.8583158946419	7hS7
hSSS	1.03006789524733	-0.646032268803866	hSSS
pBBS	0.595844504021448	-1.43576391366538	pS
BhSB	0.956479217603912	-0.752966175116789	hS
B7Bp	0.413862888945105	-1.96154690911778	7p
h7hp	3.9367434595861	1.28823099917198	h7hp
7Bph	0.37572848817278	-2.10100929017756	7ph
BBBh	0.758720930232558	-1.08713046037212	h
pBhS	0.435514018691589	-1.88798063887414	phS
S77B	0.229140722291407	-2.81446592370021	S77
B7hh	0.483362521891419	-1.73759418082458	7hh
7hSB	0.272325375773652	-2.56536837553483	7hS
BpBS	0.666666666666667	-1.27373420296107	pS
7p7S	0.705349048050771	-1.1923624328451	7p7S
